at,name,state,sync,byte_lag,replay_s
38204.864190875,follower2,streaming,async,176.0,0.000223
38204.919726416,follower2,streaming,async,0.0,0.000178
38204.973039958,follower2,streaming,async,176.0,4.5e-05
38205.028526,follower2,streaming,async,176.0,3.4e-05
38205.082746958,follower2,streaming,async,0.0,0.000169
38205.133075791,follower2,streaming,async,176.0,3.2e-05
38205.183452041,follower2,streaming,async,176.0,0.000163
38205.23438425,follower2,streaming,async,176.0,0.000189
38205.2888705,follower2,streaming,async,0.0,0.000201
38205.339536541,follower2,streaming,async,176.0,0.000162
38205.389911166,follower2,streaming,async,0.0,0.000142
38205.440838708,follower2,streaming,async,176.0,0.000167
38205.494449583,follower2,streaming,async,176.0,4.6e-05
38205.548933583,follower2,streaming,async,0.0,0.000235
38205.599889375,follower2,streaming,async,176.0,0.000149
38205.650196583,follower2,streaming,async,0.0,0.000155
38205.702868291,follower2,streaming,async,0.0,0.000195
38205.753216416,follower2,streaming,async,176.0,0.000142
38205.804248708,follower2,streaming,async,176.0,0.000177
38205.855311583,follower2,streaming,async,176.0,5.3e-05
38205.905701666,follower2,streaming,async,0.0,0.000178
38205.955908666,follower2,streaming,async,176.0,0.000154
38206.010150916,follower2,streaming,async,0.0,0.0002
38206.064060083,follower2,streaming,async,176.0,0.000177
38206.114523708,follower2,streaming,async,176.0,0.00013
38206.167540291,follower2,streaming,async,176.0,0.000249
38206.221751375,follower2,streaming,async,0.0,0.000243
38206.276635333,follower2,streaming,async,176.0,0.000164
38206.327045708,follower2,streaming,async,176.0,0.000146
38206.377344541,follower2,streaming,async,176.0,0.000155
38206.42764425,follower2,streaming,async,0.0,0.000186
38206.483041708,follower2,streaming,async,0.0,0.000169
38206.533822208,follower2,streaming,async,0.0,0.00017
38206.5840665,follower2,streaming,async,352.0,0.000156
38206.637968541,follower2,streaming,async,176.0,0.000175
38206.68834,follower2,streaming,async,176.0,9.1e-05
38206.742973916,follower2,streaming,async,0.0,0.000159
38206.794853791,follower2,streaming,async,0.0,0.000138
38206.849390416,follower2,streaming,async,176.0,5.5e-05
