at,name,state,sync,byte_lag,replay_s
22146.000200583,follower2,streaming,async,176.0,0.000204
22146.2527105,follower1,streaming,async,176.0,5.6e-05
22146.2527105,follower2,streaming,async,176.0,0.000194
22146.506058833,follower1,streaming,async,176.0,0.000325
22146.506058833,follower2,streaming,async,0.0,0.000332
22146.757351583,follower1,streaming,async,0.0,0.000178
22146.757351583,follower2,streaming,async,352.0,0.000222
22147.007663541,follower1,streaming,async,352.0,3.7e-05
22147.007663541,follower2,streaming,async,176.0,0.000198
22147.258306375,follower1,streaming,async,0.0,0.000215
22147.258306375,follower2,streaming,async,176.0,0.000196
22147.512131166,follower1,streaming,async,176.0,8.3e-05
22147.512131166,follower2,streaming,async,176.0,0.000101
22147.767486125,follower1,streaming,async,176.0,0.000268
22147.767486125,follower2,streaming,async,176.0,0.000179
22148.021152083,follower1,streaming,async,176.0,0.000217
22148.021152083,follower2,streaming,async,176.0,0.000178
22148.273509041,follower1,streaming,async,176.0,0.000183
22148.273509041,follower2,streaming,async,280.0,0.000185
22148.523928458,follower1,streaming,async,176.0,0.000552
22148.523928458,follower2,streaming,async,176.0,3.2e-05
22148.774599166,follower1,streaming,async,176.0,0.000318
22148.774599166,follower2,streaming,async,176.0,9.1e-05
22149.024894791,follower1,streaming,async,176.0,4.8e-05
22149.024894791,follower2,streaming,async,176.0,0.00018
22149.275162125,follower1,streaming,async,176.0,0.000234
22149.275162125,follower2,streaming,async,176.0,0.000186
22149.525929541,follower1,streaming,async,176.0,0.000183
22149.525929541,follower2,streaming,async,176.0,8.3e-05
22149.776447625,follower1,streaming,async,176.0,0.000208
22149.776447625,follower2,streaming,async,176.0,0.000186
22150.027005916,follower1,streaming,async,176.0,0.000202
22150.027005916,follower2,streaming,async,352.0,0.000243
22150.282203208,follower1,streaming,async,176.0,0.000308
22150.282203208,follower2,streaming,async,176.0,0.000376
22150.532732208,follower1,streaming,async,200.0,4.9e-05
22150.532732208,follower2,streaming,async,200.0,7.5e-05
22150.78481825,follower1,streaming,async,176.0,0.000251
22150.78481825,follower2,streaming,async,176.0,5.1e-05
22151.037753333,follower1,streaming,async,176.0,0.000217
22151.037753333,follower2,streaming,async,176.0,0.000176
22151.288236791,follower1,streaming,async,176.0,0.000141
22151.288236791,follower2,streaming,async,0.0,0.000281
22151.538988833,follower1,streaming,async,176.0,0.000188
22151.538988833,follower2,streaming,async,352.0,4.9e-05
22151.789731083,follower1,streaming,async,176.0,0.000208
22151.789731083,follower2,streaming,async,352.0,7.2e-05
22152.041090916,follower1,streaming,async,0.0,0.000193
22152.041090916,follower2,streaming,async,176.0,0.000191
22152.294357791,follower1,streaming,async,176.0,0.000293
22152.294357791,follower2,streaming,async,176.0,0.000268
22152.548771208,follower1,streaming,async,0.0,0.000231
22152.548771208,follower2,streaming,async,176.0,0.000279
22152.803595375,follower1,streaming,async,176.0,6.3e-05
22152.803595375,follower2,streaming,async,176.0,6.8e-05
22153.054624833,follower1,streaming,async,176.0,6.9e-05
22153.054624833,follower2,streaming,async,176.0,8.4e-05
22153.306446083,follower1,streaming,async,352.0,3.3e-05
22153.306446083,follower2,streaming,async,176.0,0.00038
22153.557457708,follower1,streaming,async,176.0,6.9e-05
22153.557457708,follower2,streaming,async,176.0,7.1e-05
22153.809532541,follower1,streaming,async,176.0,0.000214
22153.809532541,follower2,streaming,async,176.0,0.000269
22154.063953041,follower1,streaming,async,176.0,4.2e-05
22154.063953041,follower2,streaming,async,176.0,0.000205
22154.314216291,follower1,streaming,async,0.0,0.000221
22154.314216291,follower2,streaming,async,176.0,0.000178
22154.566957083,follower1,streaming,async,0.0,0.000357
22154.566957083,follower2,streaming,async,0.0,0.000366
22154.821268708,follower1,streaming,async,176.0,9.6e-05
22154.821268708,follower2,streaming,async,176.0,6.3e-05
22155.071934625,follower1,streaming,async,0.0,0.000212
22155.071934625,follower2,streaming,async,0.0,0.00022
22155.327258041,follower1,streaming,async,0.0,0.000229
22155.327258041,follower2,streaming,async,0.0,0.000267
22155.579908958,follower1,streaming,async,176.0,0.000163
22155.579908958,follower2,streaming,async,0.0,0.000162
